EMAIL,ID,LOGIN,NAME,PASSWORD,PLANLIST
first@mail.com,1186584,client1,Vladimir,12357,4628796=Plan1=04-12-2020=04-12-2022=false_9380951=Plan2=05-12-2021=05-12-2022=true_4551331=Plan3=15-12-2020=15-12-2022=false_1962313=Plan4=15-12-2021=15-12-2022=false
second@mail.com,4137990,client2,Valentina,26546,874745=Plan1=04-12-2020=04-12-2022=true_6402855=Plan2=05-12-2021=05-12-2022=false_7494069=Plan3=15-12-2020=15-12-2022=true_6695033=Plan4=15-12-2021=15-12-2022=true
third@mail.com,5592889,client3,Yana,12345,518295=Plan1=04-12-2020=04-12-2022=true_4053960=Plan2=05-12-2021=05-12-2022=false_3784442=Plan3=15-12-2020=15-12-2022=false_3900368=Plan4=15-12-2021=15-12-2022=true
fourth@mail.com,4830000,client4,Daniil,15474,5983638=Plan1=04-12-2020=04-12-2022=false_1032470=Plan2=05-12-2021=05-12-2022=false_8010926=Plan3=15-12-2020=15-12-2022=false_4150919=Plan4=15-12-2021=15-12-2022=false
fifth@mail.com,9000919,client5,Denis,31415,9166409=Plan1=04-12-2020=04-12-2022=false_687929=Plan2=05-12-2021=05-12-2022=false_8321133=Plan3=15-12-2020=15-12-2022=false_6532616=Plan4=15-12-2021=15-12-2022=false
sixth@mail.com,8308291,client5,Dmitry,51220,7764968=Plan1=04-12-2020=04-12-2022=false_8095775=Plan2=05-12-2021=05-12-2022=false_6978453=Plan3=15-12-2020=15-12-2022=false_9894709=Plan4=15-12-2021=15-12-2022=false
seventh@mail.com,6645146,client6,Yevgeny,311220,5820700=Plan1=04-12-2020=04-12-2022=false_1863130=Plan2=05-12-2021=05-12-2022=true_5843575=Plan3=15-12-2020=15-12-2022=false_8884454=Plan4=15-12-2021=15-12-2022=true
eighth@mail.com,9244803,client7,Anatoliy,88888004,3647356=Plan1=04-12-2020=04-12-2022=false_8261185=Plan2=05-12-2021=05-12-2022=true_1920226=Plan3=15-12-2020=15-12-2022=false_3220120=Plan4=15-12-2021=15-12-2022=false
ninth@mail.com,4857331,client8,Anton,99852bb,8725357=Plan1=04-12-2020=04-12-2022=false_2771010=Plan2=05-12-2021=05-12-2022=false_5645749=Plan3=15-12-2020=15-12-2022=true_6791444=Plan4=15-12-2021=15-12-2022=false
tenth@mail.com,5625259,client9,Tamara,2658747777,9218789=Plan1=04-12-2020=04-12-2022=false_5522288=Plan2=05-12-2021=05-12-2022=true_691849=Plan3=15-12-2020=15-12-2022=true_8649612=Plan4=15-12-2021=15-12-2022=false
